"order_id,customer_id,restaurant_id,order_date,delivery_time,order_amount,order_status"
"1001,128,102,2026-01-10 23:15:21,31,921.35, Cancelled"
"1002,99,107,2026-01-25 17:50:00,26,227.33,Delivered"
"1003,98,132,2026-01-17 15:02:35,38,390.66,Pending"
"1004,2,130,2026-01-10 21:26:28,28,833.05,Pending"
"1005,91,128,2026-02-08 11:58:54,56,970.11,Delivered"
"1006,14,146,2026-01-29 08:33:10,43,417.37,Pending"
"1007,192,125,2026-01-20 15:21:03,47,232.06, Cancelled"
"1008,44,115,2026-01-23 04:08:46,54,407.1,Delivered"
"1009,99,149,2026-01-13 23:10:58,46,595.41,Pending"
"1010,132,137,2026-01-15 00:06:09,29,883.73,Pending"
"1011,182,126,2026-01-24 17:25:17,56,344.49,Pending"
"1012,130,121,2026-01-29 04:27:51,60,657.88,Pending"
"1013,164,138,2026-01-16 17:35:12,48,759.42,Pending"
"1014,56,126,2026-02-12 22:02:13,39,861.93, Cancelled"
"1015,9,137,2026-01-29 03:02:22,49,679.16,Delivered"
"1016,108,148,2026-01-24 09:30:14,27,594.5, Cancelled"
"1017,180,119,2026-02-11 19:16:16,27,796.68, Cancelled"
"1018,98,117,2026-02-10 17:27:42,52,803.21,Delivered"
"1019,184,150,2026-01-28 02:15:49,20,214.11,Delivered"
"1020,74,140,2026-01-12 22:46:00,46,417.77,Pending"
"1021,7,128,2026-01-07 11:06:06,57,636.88,Delivered"
"1022,186,106,2026-01-27 08:39:44,55,798.48,Delivered"
"1023,162,140,2026-01-07 17:58:08,33,972.28,Delivered"
"1024,177,120,2026-02-09 22:35:38,24,226.26,Delivered"
"1025,18,122,2026-01-25 06:29:23,29,594.63,Pending"
"1026,65,116,2026-01-17 05:49:30,25,288.65,Pending"
"1027,71,122,2026-01-15 08:34:40,29,761.79,Delivered"
"1028,51,104,2026-02-06 03:32:14,55,978.17,Delivered"
"1029,81,143,2026-02-07 23:44:38,28,709.14,Pending"
"1030,133,102,2026-01-28 05:11:52,31,954.26,Delivered"
"1031,61,102,2026-01-19 12:30:56,40,598.55,Pending"
"1032,142,106,2026-01-22 11:07:48,22,515.56, Cancelled"
"1033,176,123,2026-01-17 17:57:34,38,537.24,Pending"
"1034,100,128,2026-01-06 13:09:37,44,968.47,Delivered"
"1035,194,132,2026-02-01 01:11:40,26,867.51,Pending"
"1036,5,132,2026-02-09 03:28:26,31,473.72,Delivered"
"1037,9,149,2026-01-20 04:29:39,39,243.08, Cancelled"
"1038,139,135,2026-02-03 00:08:07,51,569.77,Pending"
"1039,26,144,2026-01-07 19:00:14,32,504.78, Cancelled"
"1040,78,123,2026-01-22 23:42:01,38,799.4,Pending"
"1041,46,123,2026-01-12 23:38:55,48,720.88, Cancelled"
"1042,104,128,2026-02-07 22:05:03,33,489.2,Pending"
"1043,76,124,2026-01-04 12:46:58,27,937.7,Pending"
"1044,105,147,2026-02-06 06:23:02,24,500.12,Delivered"
"1045,48,121,2026-02-03 01:15:14,55,463.4,Pending"
"1046,106,102,2026-01-24 00:00:37,42,833.7, Cancelled"
"1047,130,121,2026-01-29 21:02:51,58,841.53, Cancelled"
"1048,82,115,2026-01-17 09:16:14,55,403.24, Cancelled"
"1049,24,107,2026-01-11 21:40:59,58,251.88, Cancelled"
"1050,174,126,2026-01-06 06:09:06,44,299.29,Delivered"
"1051,93,143,2026-01-10 01:50:56,37,782.22, Cancelled"
"1052,42,119,2026-01-16 11:27:04,49,807.94,Pending"
"1053,51,101,2026-02-09 09:55:16,28,788.42, Cancelled"
"1054,176,144,2026-02-05 08:52:41,28,453.79,Pending"
